rgb_ts,depth_ts,rgb_fx,rgb_fy,rgb_cx,rgb_cy,rgb_width,rgb_height,depth_fx,depth_fy,depth_cx,depth_cy,depth_width,depth_height,near,far,rgb_pos_x,rgb_pos_y,rgb_pos_z,rgb_rot_x,rgb_rot_y,rgb_rot_z,rgb_rot_w,depth_pos_x,depth_pos_y,depth_pos_z,depth_rot_x,depth_rot_y,depth_rot_z,depth_rot_w
1776821039534,1776821039575,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.4726840926468725,1.8349116309948443,4.537016092454325,-0.0924779937023883,0.09239621212928491,0.02894664437694594,-0.9909958892166283,4.48514699935913,1.8526908159256,4.47440671920776,0.00292717013508081,0.0910122022032738,0.0428531393408775,-0.994923055171967
1776821039895,1776821039922,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.4723401986444005,1.8343137550822814,4.537346591512741,-0.09354127886588515,0.09397020139533489,0.028152477635391072,-0.9907709464860401,4.48497438430786,1.8521980047226,4.47468519210815,0.0018645478412509,0.092768207192421,0.0422524362802505,-0.994789123535156
1776821040214,1776821040255,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.4728405484765394,1.8334934520279944,4.538644505381066,-0.09533144941059143,0.09533043708762014,0.025543270091084723,-0.9905410460304072,4.48560190200806,1.85162830352783,4.47612285614014,-9.02800820767879e-06,0.0943774282932281,0.039784662425518,-0.994741261005402
1776821040561,1776821040603,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.470594607135781,1.8286630150718697,4.53540281983905,-0.10858499920695901,0.11839168432314831,0.01743483521938018,-0.9868580108360198,4.48615074157715,1.84858894348145,4.47422695159912,-0.0133558083325624,0.116311684250832,0.0342680402100086,-0.992531597614288
1776821040909,1776821040950,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.461469215337225,1.8238588749267908,4.527796301131898,-0.11890563019562125,0.17775704606690115,0.00206527148795925,-0.9768621286215536,4.4839334487915,1.84498190879822,4.46887254714966,-0.0256032943725586,0.180850684642792,0.0240038838237524,-0.982884287834167
1776821041256,1776821041297,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.442445916199577,1.8138130618539432,4.5078489615630115,-0.14360085678910978,0.29468921799941555,-0.02538116245942295,-0.9444007916750891,4.477858543396,1.83871567249298,4.45764923095703,-0.0529202185571194,0.295096397399902,0.00846878346055746,-0.953963220119476
1776821041589,1776821041630,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.427187253771691,1.8073215621472363,4.483230341561683,-0.1602665173070369,0.4013755752542911,-0.042619125075409645,-0.9007751668409643,4.47263765335083,1.83438515663147,4.44342136383057,-0.0750294253230095,0.403932869434357,0.000913900788873434,-0.91170608997345
1776821041950,1776821041978,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.44532682651469,1.8139268763800458,4.456524891274469,-0.1439865325670186,0.4881261907627688,-0.045094603341664256,-0.8596320009633274,4.49827671051025,1.83903002738953,4.42578744888306,-0.0633386224508286,0.491238981485367,0.00679285684600472,-0.868692338466644
1776821042284,1776821042325,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.49356301547013,1.810244541643792,4.426565881716245,-0.1262174536268852,0.5610793982815557,-0.06142814127361604,-0.8157730362567893,4.55141973495483,1.8342536687851,4.40484762191772,-0.0501282811164856,0.565713763237,-0.00276187248528004,-0.823071956634521
1776821042645,1776821042672,863.7442626953125,863.7442626953125,640.1454467773438,643.5982666015625,1280,1280,144.43813815743954,133.676621744755,121.19798193195969,129.09001176861224,320,320,0.100000001490116,inf,4.5236785203737755,1.8206867432615823,4.3862814914317205,-0.09596144597267238,0.594068410385943,-0.046941574238176825,-0.797289541682565,4.58281421661377,1.83951759338379,4.3726978302002,-0.025848388671875,0.597111105918884,0.0109155895188451,-0.8016676902771
