model,image,latency_seconds
depth-anything/DA3-LARGE-1.1,/home/chamika2/depth-estimation/images/sample5/cat-1.jpg,0.083984
depth-anything/DA3-LARGE-1.1,/home/chamika2/depth-estimation/images/sample5/construction-site.jpg,0.083344
depth-anything/DA3-LARGE-1.1,/home/chamika2/depth-estimation/images/sample5/football-match.jpg,0.092777
depth-anything/DA3-LARGE-1.1,/home/chamika2/depth-estimation/images/sample5/office.jpg,0.082879
depth-anything/DA3-LARGE-1.1,/home/chamika2/depth-estimation/images/sample5/palace.jpg,0.086337
depth-anything/DA3-LARGE-1.1,/home/chamika2/depth-estimation/images/sample5/tiger.jpg,0.083337
