model,image,latency_seconds
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000086.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000087.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000088.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000089.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000090.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000091.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000092.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000093.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000094.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000095.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000096.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000097.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000098.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000099.jpg,0.649462
